"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sotkamo Kuolaniemi","2004","11","9","00:00","0"
"Sotkamo Kuolaniemi","2004","11","10","00:00","0"
"Sotkamo Kuolaniemi","2004","11","11","00:00","0"
"Sotkamo Kuolaniemi","2004","11","12","00:00","0"
"Sotkamo Kuolaniemi","2004","11","13","00:00","0.4"
"Sotkamo Kuolaniemi","2004","11","14","00:00","1"
"Sotkamo Kuolaniemi","2004","11","15","00:00","3.4"
"Sotkamo Kuolaniemi","2004","11","16","00:00","1.8"
"Sotkamo Kuolaniemi","2004","11","17","00:00","9.8"
"Sotkamo Kuolaniemi","2004","11","18","00:00","0"
"Sotkamo Kuolaniemi","2004","11","19","00:00","27.4"
"Sotkamo Kuolaniemi","2004","11","20","00:00","0"
"Sotkamo Kuolaniemi","2004","11","21","00:00","2.1"
"Sotkamo Kuolaniemi","2004","11","22","00:00","0.2"
"Sotkamo Kuolaniemi","2004","11","23","00:00","1.6"
"Sotkamo Kuolaniemi","2004","11","24","00:00","0"
"Sotkamo Kuolaniemi","2004","11","25","00:00","0.4"
"Sotkamo Kuolaniemi","2004","11","26","00:00","0"
"Sotkamo Kuolaniemi","2004","11","27","00:00","42.9"
"Sotkamo Kuolaniemi","2004","11","28","00:00","1.6"
"Sotkamo Kuolaniemi","2004","11","29","00:00","22.5"
"Sotkamo Kuolaniemi","2004","11","30","00:00","0"
"Sotkamo Kuolaniemi","2004","12","1","00:00","0"
"Sotkamo Kuolaniemi","2004","12","2","00:00","0"
"Sotkamo Kuolaniemi","2004","12","3","00:00","45.5"
"Sotkamo Kuolaniemi","2004","12","4","00:00","2.8"
"Sotkamo Kuolaniemi","2004","12","5","00:00","0"
"Sotkamo Kuolaniemi","2004","12","6","00:00","0"
"Sotkamo Kuolaniemi","2004","12","7","00:00","0"
"Sotkamo Kuolaniemi","2004","12","8","00:00","0"
"Sotkamo Kuolaniemi","2004","12","9","00:00","21.1"
"Sotkamo Kuolaniemi","2004","12","10","00:00","0"
"Sotkamo Kuolaniemi","2004","12","11","00:00","0"
"Sotkamo Kuolaniemi","2004","12","12","00:00","1.3"
"Sotkamo Kuolaniemi","2004","12","13","00:00","0"
"Sotkamo Kuolaniemi","2004","12","14","00:00","0"
"Sotkamo Kuolaniemi","2004","12","15","00:00","0"
"Sotkamo Kuolaniemi","2004","12","16","00:00","14.1"
"Sotkamo Kuolaniemi","2004","12","17","00:00","0"
"Sotkamo Kuolaniemi","2004","12","18","00:00","0"
"Sotkamo Kuolaniemi","2004","12","19","00:00","0"
"Sotkamo Kuolaniemi","2004","12","20","00:00","0"
"Sotkamo Kuolaniemi","2004","12","21","00:00","1.6"
"Sotkamo Kuolaniemi","2004","12","22","00:00","0"
"Sotkamo Kuolaniemi","2004","12","23","00:00","0"
"Sotkamo Kuolaniemi","2004","12","24","00:00","0"
"Sotkamo Kuolaniemi","2004","12","25","00:00","0"
"Sotkamo Kuolaniemi","2004","12","26","00:00","0.7"
"Sotkamo Kuolaniemi","2004","12","27","00:00","0"
"Sotkamo Kuolaniemi","2004","12","28","00:00","0"
"Sotkamo Kuolaniemi","2004","12","29","00:00","0"
"Sotkamo Kuolaniemi","2004","12","30","00:00","0"
"Sotkamo Kuolaniemi","2004","12","31","00:00","21.8"
"Sotkamo Kuolaniemi","2005","1","1","00:00","-"
"-","2005","1","2","00:00","-"
"-","2005","1","3","00:00","-"
"-","2005","1","4","00:00","-"
"-","2005","1","5","00:00","-"
"-","2005","1","6","00:00","-"
"-","2005","1","7","00:00","-"
"-","2005","1","8","00:00","-"
"-","2005","1","9","00:00","-"
"-","2005","1","10","00:00","-"
"-","2005","1","11","00:00","-"
"-","2005","1","12","00:00","-"
"-","2005","1","13","00:00","-"
"-","2005","1","14","00:00","-"
"-","2005","1","15","00:00","-"
"-","2005","1","16","00:00","-"
"-","2005","1","17","00:00","-"
"-","2005","1","18","00:00","-"
"-","2005","1","19","00:00","-"
"-","2005","1","20","00:00","-"
"-","2005","1","21","00:00","-"
"-","2005","1","22","00:00","-"
"-","2005","1","23","00:00","-"
"-","2005","1","24","00:00","-"
"-","2005","1","25","00:00","-"
"-","2005","1","26","00:00","-"
"-","2005","1","27","00:00","-"
"-","2005","1","28","00:00","-"
"-","2005","1","29","00:00","-"
"-","2005","1","30","00:00","-"
"-","2005","1","31","00:00","-"
"-","2005","2","1","00:00","-"
"-","2005","2","2","00:00","-"
"-","2005","2","3","00:00","-"
"-","2005","2","4","00:00","-"
"-","2005","2","5","00:00","-"
"-","2005","2","6","00:00","-"
"-","2005","2","7","00:00","-"
"-","2005","2","8","00:00","-"
"-","2005","2","9","00:00","-"
"-","2005","2","10","00:00","-"
"-","2005","2","11","00:00","-"
"-","2005","2","12","00:00","-"
"-","2005","2","13","00:00","-"
"-","2005","2","14","00:00","-"
"-","2005","2","15","00:00","-"
"-","2005","2","16","00:00","-"
"-","2005","2","17","00:00","-"
"-","2005","2","18","00:00","-"
"-","2005","2","19","00:00","-"
"-","2005","2","20","00:00","-"
"-","2005","2","21","00:00","-"
"-","2005","2","22","00:00","-"
"-","2005","2","23","00:00","-"
"-","2005","2","24","00:00","-"
"-","2005","2","25","00:00","-"
"-","2005","2","26","00:00","-"
"-","2005","2","27","00:00","-"
"-","2005","2","28","00:00","-"
"-","2005","3","1","00:00","-"
"-","2005","3","2","00:00","-"
"-","2005","3","3","00:00","-"
"-","2005","3","4","00:00","-"
"-","2005","3","5","00:00","-"
"-","2005","3","6","00:00","-"
"-","2005","3","7","00:00","-"
"-","2005","3","8","00:00","-"
